AnimalID,AnimalType,IntakeDate,IntakeType,IntakeSubtype,PrimaryColor,PrimaryBreed,Gender,SecondaryColor,DOB,IntakeReason,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeAsilomarStatus,ReproductiveStatusAtOutcome
A281756,DOG,9/11/2006 18:10,OWNER SUR,OTC,WHITE,PIT BULL TERRIER,MALE,BROWN,9/11/2005 0:00,NO TIME,NORMAL,HEALTHY,FERTILE,9/12/2006 13:44,EUTH,TIME/SPACE,HEALTHY,FERTILE
A350744,DOG,5/21/2008 10:24,RETURN,OTC,BLACK,BORDER COLLIE,SPAYED FEMALE,WHITE,7/21/2007 0:00,WONT ALLOW,NORMAL,HEALTHY,ALTERED,6/9/2008 14:15,ADOPTION,WEB METRO,HEALTHY,ALTERED
A513038,CAT,12/18/2013 12:42,OWNER SUR,EUTH REQ,BROWN TABBY,MAINE COON,FEMALE,BLACK,12/18/2012 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,12/18/2013 13:44,EUTH,REQUESTED,HEALTHY,FERTILE
A510860,CAT,11/14/2013 15:38,OWNER SUR,OTC,BLACK,DOMESTIC SHORTHAIR,NEUTERED MALE,WHITE,5/14/2013 0:00,ALLERGIC,NORMAL,HEALTHY,ALTERED,12/31/2013 13:45,TRANSFER,KHS,HEALTHY,ALTERED
A510884,CAT,11/15/2013 15:02,ET REQUEST,AGGRESSIVE,BLACK,DOMESTIC SHORTHAIR,NEUTERED MALE,WHITE,11/15/2007 0:00,MOVE,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,11/15/2013 15:54,EUTH,REQUESTED,HEALTHY,ALTERED
A513457,DOG,12/23/2013 15:02,OWNER SUR,OTC,BLACK,CHIHUAHUA - SMOOTH COATED,MALE,WHITE,10/23/2013 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,12/27/2013 7:54,TRANSFER,KHS,HEALTHY,FERTILE
A279102,CAT,8/21/2006 12:39,OWNER SUR,OTC,WHITE,DOMESTIC SHORTHAIR,MALE,TAN,4/21/2006 0:00,LANDLORD,NORMAL,HEALTHY,FERTILE,8/23/2006 11:15,EUTH,TIME/SPACE,HEALTHY,FERTILE
A268027,DOG,4/10/2006 20:31,OWNER SUR,OTC,BROWN BRINDLE,AMERICAN PIT BULL TERRIER,FEMALE,WHITE,4/10/2005 0:00,MOVE,DEAD,HEALTHY,FERTILE,4/10/2006 23:59,EUTH,REQUESTED,HEALTHY,FERTILE
A365382,DOG,10/25/2008 12:20,OWNER SUR,OTC,WHITE,FRENCH BULLDOG,SPAYED FEMALE,BLACK,10/25/2007 0:00,NO TIME,NORMAL,HEALTHY,ALTERED,12/22/2008 10:45,ADOPTION,FRIEND,HEALTHY,ALTERED
A495525,CAT,12/27/2013 12:51,OWNER SUR,OTC,CALICO,DOMESTIC SHORTHAIR,SPAYED FEMALE,WHITE,7/1/2011 0:00,ALLERGIC,NORMAL,HEALTHY,ALTERED,1/26/2014 16:12,ADOPTION,PS OUTER,HEALTHY,ALTERED
A241336,CAT,6/10/2005 19:04,OWNER SUR,OTC,GRAY,DOMESTIC SHORTHAIR,LITTER,SILVER,4/10/2005 0:00,FACILITY,NORMAL,HEALTHY,UNKNOWN,6/13/2005 8:00,EUTH,SPACE,HEALTHY,UNKNOWN
A566729,DOG,7/28/2015 16:49,OWNER SUR,OTC,RED,SIBERIAN HUSKY,NEUTERED MALE,WHITE,4/28/2014 0:00,MOVE,NORMAL,HEALTHY,ALTERED,7/30/2015 7:49,TRANSPORT,RESCUE GRP,HEALTHY,ALTERED
A336101,DOG,12/17/2007 16:14,OWNER SUR,OTC,BLACK,RAT TERRIER,MALE,WHITE,12/17/2006 0:00,ILL,SICK,HEALTHY,FERTILE,12/17/2007 23:59,EUTH,MEDICAL,HEALTHY,FERTILE
